Country,Year,CropName,Comments,Area,Production,Yield,Percentage Of Area Under Irrigation 
India,"Financial Year (Apr - Mar), 1950",Bajra,,9020.00,2600.00,288.00,3.45
India,"Financial Year (Apr - Mar), 1950",Cotton,,5880.00,516.80,88.00,8.22
India,"Financial Year (Apr - Mar), 1950",Foodgrains,,97320.00,50820.00,522.00,18.10
India,"Financial Year (Apr - Mar), 1950",Gram,,7570.00,3650.00,482.00,12.48
India,"Financial Year (Apr - Mar), 1950",Groundnut,,4490.00,3480.00,775.00,
India,"Financial Year (Apr - Mar), 1950",Jowar,,15570.00,5500.00,353.00,2.98
India,"Financial Year (Apr - Mar), 1950",Jute and Mesta,,570.00,595.80,1043.00,
India,"Financial Year (Apr - Mar), 1950",Maize,,3160.00,1730.00,547.00,11.35
India,"Financial Year (Apr - Mar), 1950",Nine Oilseeds,,10730.00,5160.00,481.00,
India,"Financial Year (Apr - Mar), 1950",Nutri/Coarse Cereals,,37670.00,15380.00,408.00,
India,"Financial Year (Apr - Mar), 1950",Potato,,240.00,1660.00,6917.00,
India,"Financial Year (Apr - Mar), 1950",Rapeseed & Mustard,,2070.00,760.00,368.00,
India,"Financial Year (Apr - Mar), 1950",Rice,,30810.00,20580.00,668.00,31.70
India,"Financial Year (Apr - Mar), 1950",Sugarcane,,1710.00,57050.00,33422.00,67.33
India,"Financial Year (Apr - Mar), 1950",Tobacco,,360.00,260.00,731.00,
India,"Financial Year (Apr - Mar), 1950",Total Pulses,,19090.00,8410.00,441.00,9.43
India,"Financial Year (Apr - Mar), 1950",Tur (Arhar),,2180.00,1720.00,789.00,0.49
India,"Financial Year (Apr - Mar), 1950",Wheat,,9750.00,6460.00,663.00,33.99
India,"Financial Year (Apr - Mar), 1951",Bajra,,9520.00,2350.00,246.00,3.82
India,"Financial Year (Apr - Mar), 1951",Cotton,,6560.00,557.60,85.00,9.05
India,"Financial Year (Apr - Mar), 1951",Foodgrains,,96960.00,51990.00,536.00,18.41
India,"Financial Year (Apr - Mar), 1951",Gram,,6830.00,3390.00,496.00,15.12
India,"Financial Year (Apr - Mar), 1951",Groundnut,,4920.00,3190.00,649.00,
India,"Financial Year (Apr - Mar), 1951",Jowar,,15940.00,6080.00,381.00,3.46
India,"Financial Year (Apr - Mar), 1951",Jute and Mesta,,790.00,849.60,1074.00,
India,"Financial Year (Apr - Mar), 1951",Maize,,3310.00,2080.00,628.00,16.42
India,"Financial Year (Apr - Mar), 1951",Nine Oilseeds,,11690.00,5030.00,430.00,
India,"Financial Year (Apr - Mar), 1951",Nutri/Coarse Cereals,,38880.00,16090.00,414.00,
India,"Financial Year (Apr - Mar), 1951",Potato,,250.00,1710.00,6848.00,
India,"Financial Year (Apr - Mar), 1951",Rapeseed & Mustard,,2400.00,940.00,393.00,
India,"Financial Year (Apr - Mar), 1951",Rice,,29830.00,21300.00,714.00,31.71
